City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
251,Bhalki,IN,2021-01-17 02:34:31,18.0333,77.2167,73.63,52,6,5.46
252,Beira,MZ,2021-01-17 02:26:53,-19.8436,34.8389,77.0,88,75,6.91
253,Margate,GB,2021-01-17 02:26:41,51.3813,1.3862,44.01,82,100,5.01
254,Fairhope,US,2021-01-17 02:34:32,30.523,-87.9033,44.6,65,1,5.88
255,Saint-Augustin,CA,2021-01-17 02:25:40,51.226,-58.6502,23.23,96,100,6.51
256,Gore,NZ,2021-01-17 02:34:32,-46.1028,168.9436,58.12,87,98,5.55
257,Marau,BR,2021-01-17 02:34:32,-28.4492,-52.2,69.22,94,94,3.44
258,Saint-Francois,FR,2021-01-17 02:34:09,46.4154,3.9054,35.01,100,90,3.44
259,Jojoima,SL,2021-01-17 02:34:33,7.8792,-10.7878,68.97,95,90,1.05
260,Djambala,CG,2021-01-17 02:33:51,-2.5447,14.7533,66.81,96,26,3.04
261,Umm Lajj,SA,2021-01-17 02:34:33,25.0213,37.2685,65.89,57,0,8.68
262,Hoopstad,ZA,2021-01-17 02:34:33,-27.8327,25.9083,65.71,28,0,5.55
263,Gland,CH,2021-01-17 02:34:33,46.4208,6.2701,33.01,96,100,10.0
264,Saint-Louis,SN,2021-01-17 02:34:34,16.3333,-15.0,70.0,19,100,11.61
265,Timizart,DZ,2021-01-17 02:34:34,36.8,4.2667,41.27,85,20,5.06
266,Nova Vicosa,BR,2021-01-17 02:34:34,-17.8919,-39.3719,75.52,84,56,9.4
267,Guantanamo,CU,2021-01-17 02:34:35,20.1444,-75.2092,77.0,78,75,5.75
268,Traverse City,US,2021-01-17 02:30:56,44.7631,-85.6206,35.6,87,90,5.75
269,Ballina,AU,2021-01-17 02:34:35,-28.8667,153.5667,84.2,47,40,11.5
270,Doha,QA,2021-01-17 02:27:03,25.2867,51.5333,64.4,88,0,3.44
271,Rocha,UY,2021-01-17 02:25:35,-34.4833,-54.3333,66.65,94,86,6.49
272,La Rochelle,FR,2021-01-17 02:34:35,46.1667,-1.15,46.99,100,90,5.75
273,Kristiinankaupunki,FI,2021-01-17 02:34:35,62.2743,21.376,25.81,98,99,5.39
274,Salekhard,RU,2021-01-17 02:34:36,66.53,66.6019,-12.42,88,56,14.56
275,Marsa Matruh,EG,2021-01-17 02:34:36,31.3525,27.2453,55.4,71,40,16.11
276,Acarau,BR,2021-01-17 02:33:12,-2.8856,-40.12,77.76,86,44,11.01
277,Mao,ES,2021-01-17 02:34:36,39.8885,4.2658,50.0,71,0,8.05
278,Benton Harbor,US,2021-01-17 02:34:36,42.1167,-86.4542,36.0,87,90,8.05
279,Kirishi,RU,2021-01-17 02:32:46,59.4471,32.0205,12.0,68,78,3.2
280,Oranjemund,NA,2021-01-17 02:26:59,-28.55,16.4333,62.26,86,0,5.97
281,Bathsheba,BB,2021-01-17 02:34:38,13.2167,-59.5167,78.8,69,40,17.27
282,Shaygino,RU,2021-01-17 02:34:38,57.7675,46.8618,1.65,93,100,8.12
283,Raghunathpur,IN,2021-01-17 02:34:39,23.55,86.6667,51.8,93,40,1.43
284,Aden,YE,2021-01-17 02:34:39,12.7794,45.0367,75.07,68,0,5.95
285,Grindavik,IS,2021-01-17 02:25:19,63.8424,-22.4338,35.6,87,75,21.85
286,Chhuikhadan,IN,2021-01-17 02:34:39,21.5333,80.9833,63.07,30,0,4.12
287,Riyadh,SA,2021-01-17 02:23:19,24.6877,46.7219,59.0,47,0,4.61
288,Villa Maria,AR,2021-01-17 02:34:40,-32.4075,-63.2402,64.62,37,0,8.72
289,Mabaruma,GY,2021-01-17 02:26:30,8.2,-59.7833,72.43,98,55,3.29
290,Bojnurd,IR,2021-01-17 02:34:40,37.4747,57.329,30.2,69,0,2.3
291,Richards Bay,ZA,2021-01-17 02:34:40,-28.783,32.0377,70.12,88,15,7.47
292,Santa Maria,BR,2021-01-17 02:34:41,-29.6842,-53.8069,77.0,83,75,4.61
